"","text","user_id","screen_name","description","created_at"
"60","We're experiencing elevated error rates for API requests.","785764172","githubstatus","",2018-10-08 21:52:46
"61","Everything operating normally.","785764172","githubstatus","",2018-09-26 22:51:20
"62","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-09-26 22:36:15
"63","Everything operating normally.","785764172","githubstatus","",2018-09-25 19:59:46
"64","We're experiencing elevated rates of exceptions for user dashboards.","785764172","githubstatus","",2018-09-25 19:55:54
"65","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-09-25 19:47:50
"66","Everything operating normally.","785764172","githubstatus","",2018-09-21 01:03:36
"67","We've identified the source of a connectivity issue to GitHub and are monitoring as the site recovers.","785764172","githubstatus","",2018-09-21 00:34:17
"68","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-09-21 00:27:20
"69","Everything operating normally.","785764172","githubstatus","",2018-09-17 08:13:53
"70","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-09-17 07:50:19
"71","Everything is operating normally.","785764172","githubstatus","",2018-09-11 19:08:39
"72","We've addressed the source of connectivity issues and are continuing to monitor as the site recovers.","785764172","githubstatus","",2018-09-11 18:18:41
"73","We're continuing to address an issue that affects connectivity to ","785764172","githubstatus","",2018-09-11 16:31:59
"74","We've identified the source of the exceptions and are working to address the problem.","785764172","githubstatus","",2018-09-11 14:20:03
"75","We are investigating a small portion of our users unable to access the site.","785764172","githubstatus","",2018-09-11 12:48:15
"76","Everything operating normally.","785764172","githubstatus","",2018-09-11 10:09:42
"77","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-09-11 09:47:23
"78","Everything operating normally.","785764172","githubstatus","",2018-08-31 04:59:54
"79","We've deployed a fix for exceptions and are continuing to monitor as the site recovers.","785764172","githubstatus","",2018-08-31 04:53:43
"80","We've identified the cause of exceptions and are deploying a fix.","785764172","githubstatus","",2018-08-31 04:47:33
"81","We are investigating reports of service unavailability.","785764172","githubstatus","",2018-08-31 04:42:14
"82","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-31 04:40:19
"83","Everything operating normally.","785764172","githubstatus","",2018-08-28 17:27:19
"84","We identified the cause of background processing issues, and are monitoring recovery. Further delays are possible as we process the backlog.","785764172","githubstatus","",2018-08-28 16:31:16
"85","We continue to investigate issues with background jobs. Users may notice delayed updates, notifications, and Pages builds.","785764172","githubstatus","",2018-08-28 15:55:40
"86","We are investigating an issue processing background jobs. Users may notice delayed updates and notifications.","785764172","githubstatus","",2018-08-28 15:12:27
"87","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-28 15:06:32
"88","Everything operating normally.","785764172","githubstatus","",2018-08-28 00:25:58
"89","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-28 00:17:09
"90","Everything operating normally.","785764172","githubstatus","",2018-08-17 06:29:26
"91","Repository archive download error rates have subsided. We continue to mitigate overall impact and monitor for problems.","785764172","githubstatus","",2018-08-17 05:24:12
"92","Error rates associated with repository archive downloads are subsiding. We continue to mitigate overall impact and monitor for problems.","785764172","githubstatus","",2018-08-17 03:40:11
"93","We're currently experiencing elevated failure rates downloading repository archives.","785764172","githubstatus","",2018-08-17 02:48:32
"94","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-17 02:15:24
"95","Everything operating normally.","785764172","githubstatus","",2018-08-09 16:30:23
"96","We've addressed the source of exceptions in the API. We're continuing to monitor as the site recovers.","785764172","githubstatus","",2018-08-09 16:24:38
"97","We are continuing to investigate increased error rates with our API.","785764172","githubstatus","",2018-08-09 15:48:54
"98","We're investigating increased error rates with our API.","785764172","githubstatus","",2018-08-09 15:29:06
"99","We finished the maintenance to our status page.","785764172","githubstatus","",2018-08-09 11:32:58
"100","Our status page is currently undergoing maintenance.","785764172","githubstatus","",2018-08-09 10:17:03
"101","Everything operating normally.","785764172","githubstatus","",2018-08-09 02:53:04
"102","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-09 02:21:14
"103","Everything operating normally.","785764172","githubstatus","",2018-08-06 21:42:38
"104","We've identified the source of elevated error rates and have deployed a fix. We're continuing to monitor as the site recovers.","785764172","githubstatus","",2018-08-06 21:32:16
"105","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-06 21:27:30
"106","Everything operating normally.","785764172","githubstatus","",2018-08-03 15:08:48
"107","We've resolved an issue that was causing notifications to be delayed. Further delays are possible as we process queued notifications.","785764172","githubstatus","",2018-08-03 13:50:42
"108","Everything operating normally.","785764172","githubstatus","",2018-08-01 16:18:55
"109","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-08-01 15:55:09
"110","We are investigating reports of service unavailability.","785764172","githubstatus","",2018-08-01 15:48:25
"111","Everything operating normally.","785764172","githubstatus","",2018-07-30 17:25:23
"112","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-07-30 17:18:05
"113","Everything operating normally.","785764172","githubstatus","",2018-07-20 09:55:21
"114","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-07-20 09:42:51
"115","Everything operating normally.","785764172","githubstatus","",2018-07-17 21:55:52
"116","Error rates have returned to normal after failing over a data service. We are continuing to monitor.","785764172","githubstatus","",2018-07-17 21:50:14
"117","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-07-17 21:39:40
"118","All systems operational. Some users may not see audit logs, Pages builds, or webh... See more at ","785764172","githubstatus","",2018-07-16 23:10:18
"119","All systems are stable. We are continuing recovery efforts.","785764172","githubstatus","",2018-07-16 21:14:20
"120","The site is stable. We are continuing to monitor and work through follow-up remediation efforts.","785764172","githubstatus","",2018-07-16 18:54:22
"121","We're continuing to monitor and work on further remediation efforts as the site recovers.","785764172","githubstatus","",2018-07-16 18:37:26
"122","We're monitoring the site as systems recover. Some delays are expected as we process backlogged data.","785764172","githubstatus","",2018-07-16 18:26:48
"123","We've discovered the issue causing connectivity failures and are remediating.","785764172","githubstatus","",2018-07-16 18:04:38
"124","We are investigating reports of service unavailability.","785764172","githubstatus","",2018-07-16 17:34:28
"125","We are investigating reports of elevated error rates.","785764172","githubstatus","",2018-07-16 17:32:53
"126","Everything operating normally.","785764172","githubstatus","",2018-07-15 13:19:45
"127","We're investigating Pull Request diff load failures.","785764172","githubstatus","",2018-07-15 12:39:05
"128","Everything operating normally.","785764172","githubstatus","",2018-07-10 08:36:07
"129","We're investigating reports of connection failures.","785764172","githubstatus","",2018-07-10 07:52:50
"130","Everything operating normally.","785764172","githubstatus","",2018-07-05 07:10:21
"131","We're investigating reports of intermittent connection failures.","785764172","githubstatus","",2018-07-05 06:18:30
